trademark_registration,concession_date,expedient,date_of_presentation,denomination,class_id,products_services,holder_data,owner,residence,population,postal_code,nationality,country,trademark_type,image
1936413,18/10/2018,2081596,30/07/2018,CENT 111 ONZE,25,null,null,null,null,null,14049,MX,MEXICO,1,null
1936414,18/10/2018,2081619,30/07/2018,VIRAGTURE,5,null,null,null,null,null,CH-4002,CH,SUIZA,1,null
1936415,18/10/2018,2081620,30/07/2018,ROCKETRIBBON,9,null,null,null,null,null,28601,US,ESTADOS UNIDOS DE AMERICA,1,null
1936416,18/10/2018,2081621,30/07/2018,LAS BOLEADORAS,43,null,null,null,null,null,08400,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI1Mg==
1936417,18/10/2018,2081623,30/07/2018,REMULVIREX,5,null,null,null,null,null,CH-4002,CH,SUIZA,1,null
1936418,18/10/2018,2081624,30/07/2018,TRIVALTOR,5,null,null,null,null,null,CH-4002,CH,SUIZA,1,null
1936977,19/10/2018,1963865,22/05/2018,PERENNE MÉXICO,21,null,null,null,null,null,54080,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI1NQ==
1936990,19/10/2018,2016124,01/03/2018,M.A.S. YOGA,9,null,null,null,null,null,64637,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI1Ng==
1936991,19/10/2018,2018003,05/03/2018,LOS CORSALES,30,null,null,null,null,null,66620,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI1Nw==
1936992,19/10/2018,2018571,06/03/2018,TASTYCO. DULCE COMPAÑÍA,29,null,null,null,null,null,72160,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI1OA==
1936993,19/10/2018,2024135,13/03/2018,STEPHANIE JERÓNIMO,25,null,null,null,null,null,68050,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI1OQ==
1936994,19/10/2018,2025516,22/03/2018,FRIZZ,32,null,null,null,null,null,64190,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI2MA==
1936995,19/10/2018,2025556,22/03/2018,AF LEATHER,35,null,null,null,null,null,37443,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI2MQ==
1936996,19/10/2018,2035413,23/03/2018,OMBLIGUITOS YOGA,9,null,null,null,null,null,28060,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI2Mg==
1937007,19/10/2018,2045753,10/05/2018,VITA DEL SOL,35,null,null,null,null,null,45030,MX,MEXICO,1,null
1937008,19/10/2018,2045754,10/05/2018,VITA DOS ONCE,35,null,null,null,null,null,45030,MX,MEXICO,1,null
1937030,19/10/2018,2052091,15/05/2018,ANTIDOPING,43,null,null,null,null,null,11560,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI2NQ==
1937034,19/10/2018,2059703,08/06/2018,5INVCOME,36,null,null,null,null,null,72230,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI2Ng==
1937035,19/10/2018,2061378,13/06/2018,400AV,35,null,null,null,null,null,72570,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI2Nw==
1937036,19/10/2018,2061448,13/06/2018,S SPECIAL BOXES,35,null,null,null,null,null,72150,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI2OA==
1937037,19/10/2018,2061449,13/06/2018,IMPRIMARKET,40,null,null,null,null,null,44150,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI2OQ==
1937038,19/10/2018,2061466,13/06/2018,EIRE,40,null,null,null,null,null,91423,MX,ESTADOS UNIDOS DE AMERICA,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI3MA==
1937039,19/10/2018,2061474,13/06/2018,EIRE,35,null,null,null,null,null,91423,MX,ESTADOS UNIDOS DE AMERICA,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI3MQ==
1937040,19/10/2018,2061491,13/06/2018,DRAMA LIGHTS,41,null,null,null,null,null,45128,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI3Mg==
1937041,19/10/2018,2061493,13/06/2018,DRAMA LIGHTS,35,null,null,null,null,null,45128,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI3Mw==
1937042,19/10/2018,2061706,14/06/2018,IGLÚ,36,null,null,null,null,null,66647,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI3NA==
1937043,19/10/2018,2061846,14/06/2018,TATAMI,42,null,null,null,null,null,45086,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI3NQ==
1937044,19/10/2018,2062906,15/06/2018,TIERRA DE ÁNGELES,18,null,null,null,null,null,72000,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI3Ng==
1937045,19/10/2018,2062915,15/06/2018,HELLO STUDIOS,25,null,null,null,null,null,47180,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI3Nw==
1937046,19/10/2018,2062916,15/06/2018,RATTAN GUADALAJARA,20,null,null,null,null,null,45235,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI3OA==
1937047,19/10/2018,2063082,15/06/2018,TOPA,38,null,null,null,null,null,44690,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI3OQ==
1937048,19/10/2018,2065864,22/06/2018,INDUSTRIAS LRH,37,null,null,null,null,null,44690,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI4MA==
1937049,19/10/2018,2066518,25/06/2018,PAYTRADY,36,null,null,null,null,null,45079,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI4MQ==
1937071,19/10/2018,2074557,13/07/2018,TRIBET,30,null,null,null,null,null,56860,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI4Mg==
1937072,19/10/2018,2074593,13/07/2018,GRANJA ALEGRE,29,null,null,null,null,null,11000,MX,MEXICO,1,null
1937073,19/10/2018,2074649,13/07/2018,MYKIA PLUS,42,null,null,null,null,null,null,KR,REPUBLICA DE COREA,1,null
1937074,19/10/2018,2076801,19/07/2018,KIWI,27,null,null,null,null,null,45150,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI4NQ==
1937075,19/10/2018,2076802,19/07/2018,UNIDAS CONTIGO,41,null,null,null,null,null,64710,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI4Ng==
1937076,19/10/2018,2076804,19/07/2018,UNIDAS CONTIGO,45,null,null,null,null,null,64710,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI4Nw==
1937081,19/10/2018,2079662,26/07/2018,MESADA,36,null,null,null,null,null,11550,MX,MEXICO,1,null
1937082,19/10/2018,2079701,26/07/2018,PASTOR CHILANGO,43,null,null,null,null,null,04800,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI4OQ==
1937084,19/10/2018,2079707,26/07/2018,CORRO A LA MEXICANA,41,null,null,null,null,null,76048,MX,MEXICO,1,null
1937085,19/10/2018,2079751,26/07/2018,M MEAN CALISTHENICS & FITNESS,41,null,null,null,null,null,78240,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI5MQ==
1937087,19/10/2018,2079761,13/07/2018,HM INDUSTRIALES EN SOLDADURA,6,null,null,null,null,null,76700,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI5Mg==
1937088,19/10/2018,2079774,26/07/2018,CAMPO SELECTO,31,null,null,null,null,null,03100,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI5Mw==
1937089,19/10/2018,2079780,26/07/2018,CAMPO SELECTO,30,null,null,null,null,null,03100,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI5NA==
1937090,19/10/2018,2079786,17/07/2018,REYNA CATALINA,43,null,null,null,null,null,78294,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI5NQ==
1937092,19/10/2018,2079791,26/07/2018,MADNESS PRODUCCIÓN Y LOGÍSTICA DE EVENTOS,41,null,null,null,null,null,52764,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI5Ng==
1937093,19/10/2018,2079803,26/07/2018,FÁTIMA CAMPO,9,null,null,null,null,null,67190,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI5Nw==
1937094,19/10/2018,2079815,26/07/2018,19:49,25,null,null,null,null,null,07207,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI5OA==
1937095,19/10/2018,2079817,26/07/2018,COURASH,35,null,null,null,null,null,55240,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODI5OQ==
1937096,19/10/2018,2079820,26/07/2018,EL 24 MARISCOS DEL PACÍFICO,43,null,null,null,null,null,55765,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMwMA==
1937097,19/10/2018,2079837,13/07/2018,SUPERLAC,29,null,null,null,null,null,98330,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMwMQ==
1937121,19/10/2018,2080112,26/07/2018,AGROWARE,42,null,null,null,null,null,97070,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMwMg==
1937122,19/10/2018,2080121,26/07/2018,MAKLEN NETWORK MARKETING,35,null,null,null,null,null,45019,MX,MEXICO,1,null
1937123,19/10/2018,2080136,26/07/2018,KARENUTRI,44,null,null,null,null,null,72760,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMwNA==
1937124,19/10/2018,2081674,30/07/2018,TRIFENNIX TRIATLÓN,41,null,null,null,null,null,37123,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMwNQ==
1937125,19/10/2018,2081676,30/07/2018,SHOP PINK MX,35,null,null,null,null,null,45040,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMwNg==
1937126,19/10/2018,2081682,30/07/2018,BRAIN FIT,44,null,null,null,null,null,44690,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMwNw==
1937127,19/10/2018,2081683,30/07/2018,BRAIN FIT,9,null,null,null,null,null,44690,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMwOA==
1937128,19/10/2018,2081684,30/07/2018,BRAIN FIT,41,null,null,null,null,null,44690,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMwOQ==
1937129,19/10/2018,2081686,30/07/2018,COMOPLAST,1,null,null,null,null,null,58200,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMxMA==
1937130,19/10/2018,2081978,31/07/2018,null,18,null,null,null,null,null,37295,MX,MEXICO,2,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMxMQ==
1937131,19/10/2018,2081985,31/07/2018,ARMEBA,35,null,null,null,null,null,55736,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMxMg==
1937132,19/10/2018,2081986,31/07/2018,PAPER POP IDEAS POPPIN´,35,null,null,null,null,null,37550,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMxMw==
1937133,19/10/2018,2082148,31/07/2018,BRCO BY GBROS,3,null,null,null,null,null,64102,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMxNA==
1937134,19/10/2018,2082360,13/07/2018,MANAMAR,29,null,null,null,null,null,34204,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMxNQ==
1937135,19/10/2018,2082365,26/07/2018,AL CHILAQUIL! MX,43,null,null,null,null,null,34100,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMxNg==
1937136,19/10/2018,2082468,25/07/2018,SIHUAMIS TIKIPANULO IN LALI,21,null,null,null,null,null,60870,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMxNw==
1937137,19/10/2018,2082477,19/07/2018,CAMACHO BARBER SHOP,44,null,null,null,null,null,81229,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMxOA==
1937138,19/10/2018,2082478,24/07/2018,TEACHER MARY,41,null,null,null,null,null,81000,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMxOQ==
1937139,19/10/2018,2082500,26/07/2018,FUMI-PLUS,1,null,null,null,null,null,80396,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMyMA==
1937140,19/10/2018,2082501,13/07/2018,FIESTA BRANDS,16,null,null,null,null,null,80060,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMyMQ==
1937141,19/10/2018,2082502,13/07/2018,8 ALPHA,5,null,null,null,null,null,80029,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMyMg==
1937142,19/10/2018,2082503,13/07/2018,ML COCINAS,40,null,null,null,null,null,80190,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMyMw==
1937143,19/10/2018,2082504,13/07/2018,MIA MODULAR INTERACTIVO,41,null,null,null,null,null,80030,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMyNA==
1937144,19/10/2018,2082508,13/07/2018,V.L1M,3,null,null,null,null,null,80247,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMyNQ==
1937145,19/10/2018,2082510,18/07/2018,DRENATRON,37,null,null,null,null,null,80170,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMyNg==
1937146,19/10/2018,2082512,20/07/2018,SE.SOLAR,37,null,null,null,null,null,80177,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMyNw==
1937147,19/10/2018,2082516,24/07/2018,ETEBAT,25,null,null,null,null,null,80230,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMyOA==
1937656,22/10/2018,1804905,06/10/2016,LA CITTADINA,43,null,null,null,null,null,64920,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMyOQ==
1937657,22/10/2018,1946408,13/09/2017,F/CERO,16,null,null,null,null,null,04100,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMzMA==
1937658,22/10/2018,1365877,17/04/2013,DORET,35,null,null,null,null,null,08400,MX,MEXICO,1,null
1937659,22/10/2018,1845765,25/01/2017,BLACK MAMBA PERFORMANCE,35,null,null,null,null,null,44460,MX,MEXICO,1,null
1937660,22/10/2018,1859212,28/02/2017,BLACK MAMBA PERFORMANCE,35,null,null,null,null,null,44460,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMzMw==
1937661,22/10/2018,1859214,28/02/2017,BLACK MAMBA PERFORMANCE,7,null,null,null,null,null,44460,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMzNA==
1937662,22/10/2018,1859222,28/02/2017,BLACK MAMBA PERFORMANCE,35,null,null,null,null,null,44460,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMzNQ==
1937663,22/10/2018,1859224,28/02/2017,BLACK MAMBA PERFORMANCE,7,null,null,null,null,null,44460,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMzNg==
1937664,22/10/2018,1863830,10/03/2017,MARIA MERAYO,41,null,null,null,null,null,08100,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMzNw==
1937665,22/10/2018,1924579,28/07/2017,TAPATIOS SOCCER FC,41,null,null,null,null,null,44130,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMzOA==
1937666,22/10/2018,1947214,14/09/2017,TRAVELERS,36,null,null,null,null,null,06183,US,ESTADOS UNIDOS DE AMERICA,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODMzOQ==
1937682,22/10/2018,2038153,20/04/2018,TRIBUTE PORTFOLIO HOMES,43,null,null,null,null,null,06902,US,ESTADOS UNIDOS DE AMERICA,1,null
1938289,22/10/2018,2009161,14/02/2018,URBANA,35,null,null,null,null,null,64700,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODM0MQ==
1938290,22/10/2018,2009777,15/02/2018,ADVY,9,null,null,null,null,null,11529,MX,MEXICO,3,http://siga.impi.gob.mx/ImagenFichaServlet?param=ODA0ODM0Mg==
,11/10/2018,121715,17/07/2018,IGUAL... NINGUNO!,41,null,null,null,null,null,11560,MX,MEXICO,1,
,11/10/2018,121720,17/07/2018,EL DOMADOR DE LA TROTTE,33,null,null,null,null,null,56530,MX,MEXICO,1,
,11/10/2018,121721,17/07/2018,THE DIABLO NAKED BY NAKED DIABLO LIMITED,33,null,null,null,null,null,M2 5WA,GB,REINO UNIDO,1,
,17/10/2018,121650,12/07/2018,EL PLACER DE TUS SENTIDOS,35,null,null,null,null,null,15970,MX,MEXICO,1,
,17/10/2018,121660,12/07/2018,¿COMO ANDAMIOS? PUES ANDAMIOS MONTERREY!,35,null,null,null,null,null,64299,MX,MEXICO,1,
,17/10/2018,121661,12/07/2018,ALCANZA TU NIVEL CON ANDAMIOS MONTERREY,35,null,null,null,null,null,64299,MX,MEXICO,1,
,19/10/2018,113183,28/06/2017,MÉXICO SE VISTE CON EL TRI,41,null,null,null,null,null,11529,MX,MEXICO,1,
,19/10/2018,113186,28/06/2017,NOS VESTIMOS CON EL TRI,41,null,null,null,null,null,11529,MX,MEXICO,1,
,19/10/2018,113223,29/06/2017,HOY JUEGA EL TRI,41,null,null,null,null,null,54766,MX,MEXICO,1,
,19/10/2018,117931,31/01/2018,ZAZOS... POR EL TRI!,35,null,null,null,null,null,11529,MX,MEXICO,1,
